Parti_Politique;Type;Nuance;Acronyme;Acronyme_bis
Rassemblement pour la République;droite;parti;RPR;
Union pour un Mouvement Populaire;droite;parti;UMP;
Les Républicains;droite;parti;LR;
Parti socialiste;gauche;parti;PS;
En Marche;centre;parti;EM;
Front National ;ED;parti;FN;
Parti de Gauche;gauche;radicale;PG;
La France Insoumise;gauche;radicale;LFI;
La République en marche;centre;parti;LREM;LRM
Union pour la Démocratie Française;centre;parti;UDF;
Mouvement Démocrate;centre;parti;MoDem;
République solidaire;droite;parti;RS;
Parti radical de gauche;gauche;parti;PRG;
Reconquête;ED;parti;;
Génération.s;gauche;parti;G.s;
Mouvement Républicain et Citoyen;gauche;parti;MRC;
Union des démocrates et indépendants;centre;parti;UDI;
Rassemblement du Peuple Français;droite;parti;RPF;
Union pour la Nouvelle République;droite;parti;UNR;
Horizons;centre;parti;;
Les Verts;gauche;écologiste;;
Europe Écologie Les Verts;gauche;écologiste;EELV;
Mouvement pour la France;droite;parti;MPF;
Parti Communiste Français;gauche;radicale;PCF;
Mouvement Unitaire Progressiste;gauche;parti;MUP;
Nouveau Parti Anticapitaliste;EG;parti;NPA;
Debout la France;droite;radicale;DLF;
Nouveau Centre;centre;parti;;
Les Centristes;centre;parti;;
Mouvement Écologiste Indépendant;gauche;écologiste;MEI;
Les Patriotes;ED;parti;LP;
Rassemblement National;ED;parti;RN;
Lutte Ouvrière;EG;parti;LO;
Force Ouvrière;EG;parti;FO;
Écologie Démocratie Solidarité;gauche;écologiste;EDS;
La Gauche Moderne;centre;parti;;
Place publique;gauche;centriste;;
Ligue Communiste Révolutionnaire;EG;parti;LCR;
Générations;gauche;parti;;
Mouvement National Républicain;ED;parti;MNR;
Les Verts Génération Écologie;gauche;écologiste;LVGE;
Résistons;centre;parti;;
Femu a Corsica;centre;autonomiste;;
Citoyenneté Action Participation pour le 21e siècle;centre;écologiste;Cap21;cap 21
Union des Démocrates pour la République;droite;parti;UDR;
Divers Gauche;gauche;parti;DVG;
Centre Démocrate;centre;parti;;
Agir;centre;parti;;
Parti Ouvrier Indépendant;EG;parti;POI;
Corsica Libera;EG;indépendantiste;;
Nazione;EG;indépendantiste;;
Génération Identitaire ;ED;groupuscule;GI;
Bloc Identitaire;ED;groupuscule;;
Les Zouaves Paris;ED;groupuscule;ZVP;
Bastion Social ;ED;groupuscule;;
Alvarium;ED;groupuscule;;
L'Oeuvre Française ;ED;groupuscule;;
Jeunesses Nationalises Révolutionnaires;ED;groupuscule;JNR;
Unité Continentale;ED;groupuscule;;
Groupe Union Défense;ED;groupuscule;GUD;
Action Française;ED;groupuscule;;
Atalante;ED;groupuscule;;
Division Martel;ED;groupuscule;;
Les Natifs;ED;groupuscule;;
Lumini ;ED;groupuscule;;
Unité Radicale;ED;groupuscule;UR;
Les Identitaires;ED;groupuscule;;
Troisième Voie;ED;groupuscule;;
oeuvre Française;ED;groupuscule;OF;
Renouveau Français;ED;groupuscule;;
Mouvement d'Action Sociale;ED;groupuscule;MAS;
Parti National Français;ED;groupuscule;;
Nouvelle Résistance ;ED;groupuscule;;
Divers ED;ED;sensibilité;;
la gauche;gauche;sensibilité;;
la droite;droite;sensibilité;;
extrême droite;ED;sensibilité;;
extrême gauche;EG;sensibilité;;
centriste;centre;sensibilité;;
centrisme;centre;sensibilité;;
socialiste;gauche;sensibilité;;
socialisme;gauche;sensibilité;;
conservatisme;droite;sensibilité;;
ultra droite;ED;sensibilité;;
ultradroite;ED;sensibilité;;
ultra gauche;EG;sensibilité;;
ultragauche;EG;sensibilité;;
écologiste;gauche;sensibilité;;
écologisme;gauche;sensibilité;;
anarchiste;EG;sensibilité;;
anarchisme;EG;sensibilité;;
La Gauche plurielle;gauche;alliance;;
Fédération de la Gauche Démocrate et Socialiste;gauche;alliance;FGDS;
Front de Gauche;gauche;alliance;;
Nouvelle Union Populaire Écologique et Sociale;gauche;alliance;NUPES;
Ensemble Citoyens;centre;alliance;;
antifa;EG;sensibilité;;
Partidu Di a Natione Corsa ;gauche;autonomiste;PNC;
Parti de la France;ED;;;
